8.0	16.0
8.4	18.0
8.8	17.0
9.2	17.0
9.6	21.0
10.0	26.0
10.4	27.0
10.8	33.0
11.2	41.0
11.6	42.0
12.0	48.0
12.4	54.0
12.8	65.0
13.2	69.0
13.6	76.0
14.0	79.0
14.4	90.0
14.8	105.0
15.2	92.0
15.6	115.0
16.0	114.0
16.4	116.0
16.7	129.0
17.2	130.0
17.6	137.0
18.0	147.0
18.4	153.0
18.8	162.0
19.2	152.0
19.6	159.0
20.0	168.0
20.4	158.0
20.8	175.0
21.2	165.0
21.6	168.0
22.0	161.0
22.4	163.0
22.8	172.0
23.2	155.0
23.6	167.0
24.0	159.0
24.4	173.0
24.8	156.0
25.2	154.0
25.6	154.0
26.0	157.0
26.4	129.0
26.8	122.0
27.2	122.0
27.6	128.0
28.0	116.0
28.4	114.0
28.8	113.0
29.2	109.0
29.6	111.0
30.0	111.0
30.4	114.0
30.8	103.0
31.2	105.0
31.6	99.0
32.0	96.0
32.4	95.0
32.8	97.0
33.2	89.0
33.6	90.0
34.0	90.0
34.4	87.0
34.8	84.0
35.2	90.0
35.5	87.0
36.0	80.0
36.4	80.0
36.8	77.0
37.2	80.0
37.5	70.0
38.0	86.0
38.4	84.0
38.8	75.0
39.2	78.0
