#Reichweite über Druck 120s, a=2,5cm
# mbar Energiemaximum Gesamtzählrate
0 540 92505
50 530 91459
100 525 89723
150 515 88232
200 521 91197
250 521 89515
300 505 88548
350 489 82659
400 486 84531
450 480 82048
500 467 78730
550 458 75023
600 451 69593
650 440 65145
700 429 64647
750 414 54482
800 406 52385
850 -   32376
900 -   27305
950 -   20768
1000 -  9593
#Emax nicht mehr messbar
